Method,n,k,elapsed
BruteForce,65536,4,447375
BruteForceIdiomatic,65536,4,317666
Heap,65536,4,7076625
BST,65536,4,4208625
Linear,65536,4,719583
BruteForce,65536,8,275375
BruteForceIdiomatic,65536,8,233875
Heap,65536,8,3868375
BST,65536,8,4370208
Linear,65536,8,668041
BruteForce,65536,16,571625
BruteForceIdiomatic,65536,16,518208
Heap,65536,16,2458458
BST,65536,16,5143041
Linear,65536,16,669333
BruteForce,65536,32,1677166
BruteForceIdiomatic,65536,32,1574166
Heap,65536,32,1883041
BST,65536,32,5769625
Linear,65536,32,663333
BruteForce,65536,64,4983416
BruteForceIdiomatic,65536,64,4558458
Heap,65536,64,1432958
BST,65536,64,6298458
Linear,65536,64,668958
BruteForce,65536,128,12695791
BruteForceIdiomatic,65536,128,12585083
Heap,65536,128,1138666
BST,65536,128,6743250
Linear,65536,128,646083
BruteForce,65536,256,28351000
BruteForceIdiomatic,65536,256,28233583
Heap,65536,256,1021458
BST,65536,256,7273583
Linear,65536,256,643125
BruteForce,65536,512,59485291
BruteForceIdiomatic,65536,512,59342583
Heap,65536,512,900291
BST,65536,512,7751125
Linear,65536,512,649875
BruteForce,65536,1024,120899875
BruteForceIdiomatic,65536,1024,120832000
Heap,65536,1024,881291
BST,65536,1024,8369125
Linear,65536,1024,641000
BruteForce,65536,2048,240896333
BruteForceIdiomatic,65536,2048,240732875
Heap,65536,2048,902250
BST,65536,2048,9025375
Linear,65536,2048,641208
BruteForce,65536,4096,469162916
BruteForceIdiomatic,65536,4096,468814125
Heap,65536,4096,850458
BST,65536,4096,9811666
Linear,65536,4096,645541
BruteForce,65536,8192,878250416
BruteForceIdiomatic,65536,8192,877903625
Heap,65536,8192,913125
BST,65536,8192,11404500
Linear,65536,8192,642916
BruteForce,65536,16384,1508337833
BruteForceIdiomatic,65536,16384,1507694916
Heap,65536,16384,856958
BST,65536,16384,12415416
Linear,65536,16384,642500
BruteForce,65536,32000,2011607375
BruteForceIdiomatic,65536,32000,2011323125
Heap,65536,32000,863583
BST,65536,32000,12863666
Linear,65536,32000,645583
BruteForce,65536,48000,1577884416
BruteForceIdiomatic,65536,48000,1586159000
Heap,65536,48000,816458
BST,65536,48000,12942583
Linear,65536,48000,632708
BruteForce,65536,60000,624148000
BruteForceIdiomatic,65536,60000,623918708
Heap,65536,60000,852791
BST,65536,60000,12676375
Linear,65536,60000,631458
HeapBest,65536,4,872875
HeapWorst,65536,4,511291
LinearWorst,65536,4,290375
BSTWorst,65536,4,2069208
HeapBest,65536,8,861583
HeapWorst,65536,8,865583
LinearWorst,65536,8,292000
BSTWorst,65536,8,2208625
HeapBest,65536,16,875333
HeapWorst,65536,16,1185000
LinearWorst,65536,16,296708
BSTWorst,65536,16,3018291
HeapBest,65536,32,855583
HeapWorst,65536,32,1017250
LinearWorst,65536,32,295250
BSTWorst,65536,32,4717083
HeapBest,65536,64,862333
HeapWorst,65536,64,1073208
LinearWorst,65536,64,289750
BSTWorst,65536,64,9077708
HeapBest,65536,128,856708
HeapWorst,65536,128,1179666
LinearWorst,65536,128,295916
BSTWorst,65536,128,15839250
HeapBest,65536,256,862625
HeapWorst,65536,256,1392083
LinearWorst,65536,256,295958
BSTWorst,65536,256,29587083
HeapBest,65536,512,863083
HeapWorst,65536,512,1581791
LinearWorst,65536,512,295750
BSTWorst,65536,512,57104208
HeapBest,65536,1024,849125
HeapWorst,65536,1024,1769875
LinearWorst,65536,1024,295708
BSTWorst,65536,1024,110842416
HeapBest,65536,2048,850666
HeapWorst,65536,2048,2023541
LinearWorst,65536,2048,296125
BSTWorst,65536,2048,217551250
HeapBest,65536,4096,846916
HeapWorst,65536,4096,2218333
LinearWorst,65536,4096,295875
BSTWorst,65536,4096,457162833
HeapBest,65536,8192,845958
HeapWorst,65536,8192,2368458
LinearWorst,65536,8192,295625
BSTWorst,65536,8192,833574583
HeapBest,65536,16384,842000
HeapWorst,65536,16384,2302041
LinearWorst,65536,16384,294708
BSTWorst,65536,16384,1548126875
HeapBest,65536,32000,856291
HeapWorst,65536,32000,1789500
LinearWorst,65536,32000,294541
BSTWorst,65536,32000,2609696750
HeapBest,65536,48000,844416
HeapWorst,65536,48000,1065166
LinearWorst,65536,48000,295000
BSTWorst,65536,48000,3267271625
HeapBest,65536,60000,822166
HeapWorst,65536,60000,477625
LinearWorst,65536,60000,293583
BSTWorst,65536,60000,3475888916
LinearBest,65536,58982,237833
BruteForceBest,65536,1,41541
BruteForceIdiomaticBest,65536,1,20541
BSTBest,65536,1,2082083
BruteForceWorst,65536,32768,2012431875
BruteForceIdiomaticWorst,65536,32768,2011334166
