Method,n,k,elapsed
BruteForce,1024,4,7125
BruteForceIdiomatic,1024,4,5125
Heap,1024,4,90750
BST,1024,4,160083
Linear,1024,4,17708
BruteForce,1024,8,15208
BruteForceIdiomatic,1024,8,12791
Heap,1024,8,64875
BST,1024,8,152166
Linear,1024,8,17750
BruteForce,1024,16,29583
BruteForceIdiomatic,1024,16,27375
Heap,1024,16,51958
BST,1024,16,178500
Linear,1024,16,23125
BruteForce,1024,32,98083
BruteForceIdiomatic,1024,32,72416
Heap,1024,32,28541
BST,1024,32,236041
Linear,1024,32,19208
BruteForce,1024,64,207625
BruteForceIdiomatic,1024,64,202875
Heap,1024,64,21125
BST,1024,64,280625
Linear,1024,64,16750
BruteForce,1024,128,528125
BruteForceIdiomatic,1024,128,430666
Heap,1024,128,10500
BST,1024,128,233125
Linear,1024,128,16416
BruteForce,1024,256,832375
BruteForceIdiomatic,1024,256,828833
Heap,1024,256,19958
BST,1024,256,214833
Linear,1024,256,12000
BruteForce,1024,512,1000708
BruteForceIdiomatic,1024,512,924625
Heap,1024,512,7000
BST,1024,512,198291
Linear,1024,512,11041
BruteForce,1024,1024,3500
BruteForceIdiomatic,1024,1024,3541
Heap,1024,1024,12208
BST,1024,1024,212166
Linear,1024,1024,10916
HeapBest,1024,4,16250
HeapWorst,1024,4,14833
LinearWorst,1024,4,8666
HeapBest,1024,8,16166
HeapWorst,1024,8,25083
LinearWorst,1024,8,8583
HeapBest,1024,16,16083
HeapWorst,1024,16,34000
LinearWorst,1024,16,8708
HeapBest,1024,32,16208
HeapWorst,1024,32,28583
LinearWorst,1024,32,8625
HeapBest,1024,64,16083
HeapWorst,1024,64,29875
LinearWorst,1024,64,8666
HeapBest,1024,128,15958
HeapWorst,1024,128,30958
LinearWorst,1024,128,8583
HeapBest,1024,256,15875
HeapWorst,1024,256,32166
LinearWorst,1024,256,8583
HeapBest,1024,512,15750
HeapWorst,1024,512,26375
LinearWorst,1024,512,8583
HeapBest,1024,1024,15166
HeapWorst,1024,1024,5375
LinearWorst,1024,1024,8500
LinearBest,1024,0,0
BruteForceBest,1024,1,1291
BruteForceIdiomaticBest,1024,1,666
BruteForceWorst,1024,512,868791
BruteForceIdiomaticWorst,1024,512,765875
