Method,n,k,elapsed
BruteForce,65536,4,13025500
BruteForceIdiomatic,65536,4,13062541
Heap,65536,4,59900000
BST,65536,4,17977083
Linear,65536,4,12729125
BruteForce,65536,8,19848291
BruteForceIdiomatic,65536,8,19930041
Heap,65536,8,50293791
BST,65536,8,19353041
Linear,65536,8,12875125
BruteForce,65536,16,32957416
BruteForceIdiomatic,65536,16,32996083
Heap,65536,16,40638541
BST,65536,16,20566333
Linear,65536,16,12945875
BruteForce,65536,32,58584125
BruteForceIdiomatic,65536,32,58715541
Heap,65536,32,29502166
BST,65536,32,21844750
Linear,65536,32,12980583
BruteForce,65536,64,109385916
BruteForceIdiomatic,65536,64,109535208
Heap,65536,64,21748458
BST,65536,64,23216666
Linear,65536,64,13002291
BruteForce,65536,128,210156708
BruteForceIdiomatic,65536,128,210145458
Heap,65536,128,17497208
BST,65536,128,24631291
Linear,65536,128,13130250
BruteForce,65536,256,411661291
BruteForceIdiomatic,65536,256,410244500
Heap,65536,256,15906875
BST,65536,256,26146166
Linear,65536,256,13006041
BruteForce,65536,512,808913833
BruteForceIdiomatic,65536,512,807652916
Heap,65536,512,15469666
BST,65536,512,27256916
Linear,65536,512,13004458
BruteForce,65536,1024,1595671333
BruteForceIdiomatic,65536,1024,1594707000
Heap,65536,1024,14827166
BST,65536,1024,28696166
Linear,65536,1024,12990375
BruteForce,65536,2048,3143396291
BruteForceIdiomatic,65536,2048,3153142791
Heap,65536,2048,14639625
BST,65536,2048,30396083
Linear,65536,2048,13210833
BruteForce,65536,4096,6090470458
BruteForceIdiomatic,65536,4096,6118648041
Heap,65536,4096,14557833
BST,65536,4096,31873083
Linear,65536,4096,12959791
BruteForce,65536,8192,11502040250
BruteForceIdiomatic,65536,8192,11503175166
Heap,65536,8192,14542125
BST,65536,8192,34451750
Linear,65536,8192,13040833
BruteForce,65536,16384,19710094125
BruteForceIdiomatic,65536,16384,19714116291
Heap,65536,16384,14114166
BST,65536,16384,34704041
Linear,65536,16384,12814541
BruteForce,65536,32000,26258381916
BruteForceIdiomatic,65536,32000,26256640916
Heap,65536,32000,13473833
BST,65536,32000,32779958
Linear,65536,32000,12376416
BruteForce,65536,48000,20595990541
BruteForceIdiomatic,65536,48000,20628225625
Heap,65536,48000,12679541
BST,65536,48000,30825541
Linear,65536,48000,11943625
BruteForce,65536,60000,8139072708
BruteForceIdiomatic,65536,60000,8130615000
Heap,65536,60000,12167083
BST,65536,60000,27010250
Linear,65536,60000,11594208
HeapBest,65536,4,32158791
HeapWorst,65536,4,32833500
LinearWorst,65536,4,11158166
HeapBest,65536,8,32190125
HeapWorst,65536,8,34832125
LinearWorst,65536,8,11150833
HeapBest,65536,16,32176083
HeapWorst,65536,16,37178416
LinearWorst,65536,16,11152541
HeapBest,65536,32,32198166
HeapWorst,65536,32,38840625
LinearWorst,65536,32,11148083
HeapBest,65536,64,32174333
HeapWorst,65536,64,40644625
LinearWorst,65536,64,11146750
HeapBest,65536,128,32173291
HeapWorst,65536,128,42551583
LinearWorst,65536,128,11145041
HeapBest,65536,256,32177833
HeapWorst,65536,256,44568291
LinearWorst,65536,256,11144125
HeapBest,65536,512,32133041
HeapWorst,65536,512,46343416
LinearWorst,65536,512,11141833
HeapBest,65536,1024,32130541
HeapWorst,65536,1024,47939916
LinearWorst,65536,1024,11120791
HeapBest,65536,2048,32074875
HeapWorst,65536,2048,49157708
LinearWorst,65536,2048,11108250
HeapBest,65536,4096,32075250
HeapWorst,65536,4096,50053916
LinearWorst,65536,4096,11072208
HeapBest,65536,8192,32031791
HeapWorst,65536,8192,48988458
LinearWorst,65536,8192,11031375
HeapBest,65536,16384,31499416
HeapWorst,65536,16384,44540666
LinearWorst,65536,16384,10689083
HeapBest,65536,32000,30751541
HeapWorst,65536,32000,34149916
LinearWorst,65536,32000,10252375
HeapBest,65536,48000,30364458
HeapWorst,65536,48000,22784458
LinearWorst,65536,48000,9857750
HeapBest,65536,60000,29516958
HeapWorst,65536,60000,13217625
LinearWorst,65536,60000,9441583
LinearBest,65536,0,41
BruteForceBest,65536,1,6533041
BruteForceIdiomaticBest,65536,1,6713291
BruteForceWorst,65536,32768,26328328000
BruteForceIdiomaticWorst,65536,32768,26298957750
