Method,n,k,elapsed
BruteForce,65536,4,306500
BruteForceIdiomatic,65536,4,255416
Heap,65536,4,5928125
BST,65536,4,3758125
Linear,65536,4,664333
BruteForce,65536,8,257583
BruteForceIdiomatic,65536,8,218708
Heap,65536,8,3679791
BST,65536,8,4405541
Linear,65536,8,655166
BruteForce,65536,16,571416
BruteForceIdiomatic,65536,16,518208
Heap,65536,16,2735708
BST,65536,16,5130666
Linear,65536,16,679500
BruteForce,65536,32,1674625
BruteForceIdiomatic,65536,32,1571958
Heap,65536,32,2072500
BST,65536,32,5768708
Linear,65536,32,660416
BruteForce,65536,64,4745333
BruteForceIdiomatic,65536,64,4562416
Heap,65536,64,1385333
BST,65536,64,6243750
Linear,65536,64,657958
BruteForce,65536,128,12702375
BruteForceIdiomatic,65536,128,12590791
Heap,65536,128,1150666
BST,65536,128,6743833
Linear,65536,128,653208
BruteForce,65536,256,28347833
BruteForceIdiomatic,65536,256,28230708
Heap,65536,256,1034291
BST,65536,256,7307958
Linear,65536,256,648208
BruteForce,65536,512,59457791
BruteForceIdiomatic,65536,512,59329541
Heap,65536,512,895083
BST,65536,512,7776958
Linear,65536,512,644791
BruteForce,65536,1024,120857000
BruteForceIdiomatic,65536,1024,120713750
Heap,65536,1024,879666
BST,65536,1024,8371208
Linear,65536,1024,644375
BruteForce,65536,2048,240811625
BruteForceIdiomatic,65536,2048,240662125
Heap,65536,2048,861708
BST,65536,2048,8822916
Linear,65536,2048,641083
BruteForce,65536,4096,470128208
BruteForceIdiomatic,65536,4096,472313958
Heap,65536,4096,845958
BST,65536,4096,9800041
Linear,65536,4096,645416
BruteForce,65536,8192,878911166
BruteForceIdiomatic,65536,8192,877900291
Heap,65536,8192,844000
BST,65536,8192,11295958
Linear,65536,8192,644000
BruteForce,65536,16384,1508180500
BruteForceIdiomatic,65536,16384,1507304916
Heap,65536,16384,876875
BST,65536,16384,12421458
Linear,65536,16384,647291
BruteForce,65536,32000,2011132916
BruteForceIdiomatic,65536,32000,2009967125
Heap,65536,32000,871041
BST,65536,32000,12579458
Linear,65536,32000,649291
BruteForce,65536,48000,1577868291
BruteForceIdiomatic,65536,48000,1577373541
Heap,65536,48000,823791
BST,65536,48000,12753625
Linear,65536,48000,635416
BruteForce,65536,60000,622659375
BruteForceIdiomatic,65536,60000,622162083
Heap,65536,60000,819916
BST,65536,60000,12375250
Linear,65536,60000,633416
HeapBest,65536,4,885708
HeapWorst,65536,4,512708
LinearWorst,65536,4,292500
HeapBest,65536,8,863791
HeapWorst,65536,8,865125
LinearWorst,65536,8,301500
HeapBest,65536,16,885625
HeapWorst,65536,16,1172916
LinearWorst,65536,16,292333
HeapBest,65536,32,884500
HeapWorst,65536,32,1024958
LinearWorst,65536,32,295833
HeapBest,65536,64,874750
HeapWorst,65536,64,1094000
LinearWorst,65536,64,301125
HeapBest,65536,128,893791
HeapWorst,65536,128,1202708
LinearWorst,65536,128,295750
HeapBest,65536,256,877083
HeapWorst,65536,256,1392416
LinearWorst,65536,256,296000
HeapBest,65536,512,871333
HeapWorst,65536,512,1582083
LinearWorst,65536,512,295916
HeapBest,65536,1024,876875
HeapWorst,65536,1024,1770291
LinearWorst,65536,1024,296333
HeapBest,65536,2048,869208
HeapWorst,65536,2048,2024041
LinearWorst,65536,2048,296041
HeapBest,65536,4096,870208
HeapWorst,65536,4096,2213458
LinearWorst,65536,4096,295750
HeapBest,65536,8192,870666
HeapWorst,65536,8192,2370625
LinearWorst,65536,8192,295208
HeapBest,65536,16384,864500
HeapWorst,65536,16384,2298000
LinearWorst,65536,16384,295375
HeapBest,65536,32000,851666
HeapWorst,65536,32000,1785833
LinearWorst,65536,32000,294333
HeapBest,65536,48000,838666
HeapWorst,65536,48000,1099708
LinearWorst,65536,48000,294416
HeapBest,65536,60000,815333
HeapWorst,65536,60000,499875
LinearWorst,65536,60000,291250
LinearBest,65536,0,0
BruteForceBest,65536,1,41583
BruteForceIdiomaticBest,65536,1,20500
BruteForceWorst,65536,32768,2012559458
BruteForceIdiomaticWorst,65536,32768,2011523041
